"","id","measure","date","street","lat","long","type","unit","format","id_char","type_and_unit","normal_measure"
"114",10283,34,"2013/11/01","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.239316239316239
"115",10283,38,"2013/11/02","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.273504273504274
"116",10283,32,"2013/11/03","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.222222222222222
"117",10283,22,"2013/11/04","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.136752136752137
"118",10283,31,"2013/11/05","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.213675213675214
"119",10283,25,"2013/11/06","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.162393162393162
"120",10283,44,"2013/11/07","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.324786324786325
"121",10283,42,"2013/11/08","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.307692307692308
"122",10283,32,"2013/11/09","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.222222222222222
"123",10283,12,"2013/11/10","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.0512820512820513
"124",10283,14,"2013/11/11","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.0683760683760684
"125",10283,23,"2013/11/12","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.145299145299145
